command,command_action
add a marker in Cape Town,addMarkerToPlace'
mark a spot in Buenos Aires,addMarkerToPlace'
reveal my position," ""showMyLocation"""
find out my current position," ""showMyLocation"""
zoom in on the Eiffel Tower,zoom in on
add a marker at the Colosseum,addMarkerToPlace'
mark the Statue of Liberty,addMarkerToPlace'
current location at Eiffel Tower," ""showMyLocation"""
find my location in Tokyo," ""showMyLocation"""
show the satellite map," ""SatelliteMap"""
zoomOut the Antarctic,zoomOut
satellite view of Sydney Harbour," ""SatelliteMap"""
add marker at the Louvre,addMarkerToPlace'
mark location of Machu Picchu,addMarkerToPlace'
show me the satellite view of the Pyramids," ""SatelliteMap"""
"view the  ""ReliefMap"" of the Grand Canyon"," ""ReliefMap"""
place a marker at the Taj Mahal,addMarkerToPlace'
current location near the Sydney Opera House," ""showMyLocation"""
find my location in Rome," ""showMyLocation"""
show satellite map of Mount Everest," ""SatelliteMap"""
satellite view of Tokyo Tower," ""SatelliteMap"""
add marker at the Golden Gate Bridge,addMarkerToPlace'
show the map of Delhi,panToPlace
move to Jaipur,panToPlace
navigate to Bangalore,panToPlace
view the satellite map of Kolkata," ""SatelliteMap"""
"show me a  ""ReliefMap"" of Varanasi"," ""ReliefMap"""
pan to Hyderabad," ""panToPlace"""
mark a spot in Ahmedabad,addMarkerToPlace'
place a marker in Chandigarh,addMarkerToPlace'
current position in Mumbai," ""showMyLocation"""
show the terrain map of Amritsar,OpenTopoMap'
find my location in Delhi," ""showMyLocation"""
navigate to Pune,panToPlace
"view the  ""StandardMap"""," ""StandardMap"""
mark a location in Surat,addMarkerToPlace'
show me the map of Udaipur,panToPlace
add a marker at the Taj Mahal,addMarkerToPlace'
find my location near the Taj Mahal," ""showMyLocation"""
take me to Paris,panToPlace
show me Los Angeles,panToPlace
go to Tokyo,panToPlace
navigate to London,panToPlace
move to New York,panToPlace
direct me to Rome,panToPlace
travel to Sydney,panToPlace
head to Mumbai,panToPlace
show me the way to Berlin,panToPlace
guide me to San Francisco,panToPlace
pin a location at Delhi,addMarkerToPlace'
mark the spot at Cairo,addMarkerToPlace'
place a pin in Chicago,addMarkerToPlace'
add a marker in Tokyo,addMarkerToPlace'
put a marker at Sydney,addMarkerToPlace'
label a location in New Delhi,addMarkerToPlace'
drop a pin in Mumbai,addMarkerToPlace'
mark this place as Paris,addMarkerToPlace'
set a marker for San Francisco,addMarkerToPlace'
place a pin at Berlin,addMarkerToPlace'
where am I," ""showMyLocation"""
what's my current location," ""showMyLocation"""
show me my location," ""showMyLocation"""
find my position," ""showMyLocation"""
tell me where I am," ""showMyLocation"""
show my current spot," ""showMyLocation"""
locate me," ""showMyLocation"""
"current location, please"," ""showMyLocation"""
reveal my location," ""showMyLocation"""
find out where I am," ""showMyLocation"""
display my location," ""showMyLocation"""
show me where I am right now," ""showMyLocation"""
can you find my location," ""showMyLocation"""
find my location right now," ""showMyLocation"""
can you show my position," ""showMyLocation"""
show where I am," ""showMyLocation"""
display my current location," ""showMyLocation"""
